"chara_id","kanji","kanji_spaced","kana_spaced","conventional","translated","translated_cht"
1,"千川ちひろ","千川 ちひろ","せんかわ ちひろ","Senkawa Chihiro","",""
2,"千川ちひろ","千川 ちひろ","せんかわ ちひろ","Senkawa Chihiro","",""
3,"エトセトラ","エトセトラ","エトセトラ","????","",""
18,"ぴにゃこら太","ぴにゃこら太","","","",""
19,"うさぎ","うさぎ","","","",""
20,"千川ちひろ","千川 ちひろ","せんかわ ちひろ","Senkawa Chihiro","",""
48,"島村卯月","島村 卯月","しまむら うづき","Shimamura Uzuki","",""
49,"渋谷凛","渋谷 凛","しぶや りん","Shibuya Rin","",""
50,"本田未央","本田 未央","ほんだ みお","Honda Mio","",""
83,"きらりんロボ","きらりんロボ","","","",""
86,"きらり博士","きらり博士","もろぼしきらり","Moroboshikirari","",""
87,"あんず","あんず","ふたばあんず","Futabaanzu","",""
101,"島村卯月","島村 卯月","しまむら うづき","Shimamura Uzuki","",""
102,"中野有香","中野 有香","なかの ゆか","Nakano Yuka","",""
103,"水本ゆかり","水本 ゆかり","みずもと ゆかり","Mizumoto Yukari","",""
104,"福山舞","福山 舞","ふくやま まい","Fukuyama Mai","",""
105,"椎名法子","椎名 法子","しいな のりこ","Shiina Noriko","",""
106,"今井加奈","今井 加奈","いまい かな","Imai Kana","",""
107,"持田亜里沙","持田 亜里沙","もちだ ありさ","Mochida Arisa","",""
108,"三村かな子","三村 かな子","みむら かなこ","Mimura Kanako","",""
109,"奥山沙織","奥山 沙織","おくやま さおり","Okuyama Saori","",""
110,"間中美里","間中 美里","まなか みさと","Manaka Misato","",""
111,"小日向美穂","小日向 美穂","こひなた みほ","Kohinata Miho","",""
112,"緒方智絵里","緒方 智絵里","おがた ちえり","Ogata Chieri","",""
113,"五十嵐響子","五十嵐 響子","いがらし きょうこ","Igarashi Kyoko","",""
114,"柳瀬美由紀","柳瀬 美由紀","やなせ みゆき","Yanase Miyuki","",""
115,"櫻井桃華","櫻井 桃華","さくらい ももか","Sakurai Momoka","",""
116,"江上椿","江上 椿","えがみ つばき","Egami Tsubaki","",""
117,"長富蓮実","長富 蓮実","ながとみ はすみ","Nagatomi Hasumi","",""
118,"横山千佳","横山 千佳","よこやま ちか","Yokoyama Chika","",""
119,"関裕美","関 裕美","せき ひろみ","Seki Hiromi","",""
120,"太田優","太田 優","おおた ゆう","Oota Yu","",""
121,"棟方愛海","棟方 愛海","むなかた あつみ","Munakata Atsumi","",""
122,"藤本里奈","藤本 里奈","ふじもと りな","Fujimoto Rina","",""
123,"大原みちる","大原 みちる","おおはら みちる","Oohara Michiru","",""
124,"遊佐こずえ","遊佐 こずえ","ゆさ こずえ","Yusa Kozue","",""
125,"大沼くるみ","大沼 くるみ","おおぬま くるみ","Oonuma Kurumi","",""
126,"一ノ瀬志希","一ノ瀬 志希","いちのせ しき","Ichinose Shiki","",""
127,"前川みく","前川 みく","まえかわ みく","Maekawa Miku","",""
128,"赤西瑛梨華","赤西 瑛梨華","あかにし えりか","Akanishi Erika","",""
129,"松原早耶","松原 早耶","まつばら さや","Matsubara Saya","",""
130,"相原雪乃","相原 雪乃","あいはら ゆきの","Aihara Yukino","",""
131,"宮本フレデリカ","宮本 フレデリカ","みやもと ふれでりか","Miyamoto Furederika?","",""
